date,product_id,sales_amount,store_location
2024-01-01,PROD-1005,2192.85,Chicago
2024-01-01,PROD-1001,1846.72,New York
2024-01-01,PROD-1002,2367.94,Los Angeles
2024-01-01,PROD-1001,1523.68,Miami
2024-01-02,PROD-1004,2789.43,Phoenix
2024-01-02,PROD-1001,1645.29,Boston
2024-01-03,PROD-1005,2134.56,Seattle
2024-01-03,PROD-1002,1876.83,Chicago
2024-01-04,PROD-1001,2456.91,Atlanta
2024-01-04,PROD-1004,1598.47,New York
2024-01-05,PROD-1001,2612.74,Dallas
2024-01-05,PROD-1005,1734.89,Los Angeles
2024-01-06,PROD-1002,2389.56,Denver
2024-01-06,PROD-1004,1867.23,Miami
2024-01-07,PROD-1001,2734.82,Houston
2024-01-07,PROD-1001,1523.94,Philadelphia
2024-01-08,PROD-1005,2198.67,Chicago
2024-01-08,PROD-1004,1879.34,Portland
2024-01-09,PROD-1002,2456.78,New York
2024-01-09,PROD-1001,1645.82,Austin
2024-01-10,PROD-1001,2689.54,Las Vegas
2024-01-10,PROD-1005,1534.76,Boston
2024-01-11,PROD-1004,2367.89,Los Angeles
2024-01-11,PROD-1002,1823.45,San Antonio
2024-01-12,PROD-1001,2612.93,Miami
2024-01-12,PROD-1001,1745.68,San Diego
2024-01-13,PROD-1005,2423.87,Phoenix
2024-01-13,PROD-1004,1598.34,Seattle
2024-01-14,PROD-1002,2789.65,Chicago
2024-01-14,PROD-1001,1678.92,San Jose
2024-01-15,PROD-1001,2134.76,Atlanta
2024-01-15,PROD-1005,1912.48,New York
2024-01-16,PROD-1004,2567.83,Detroit
2024-01-16,PROD-1002,1534.69,Dallas
2024-01-17,PROD-1001,2689.47,Minneapolis
2024-01-17,PROD-1001,1823.56,Los Angeles
2024-01-18,PROD-1005,2456.92,Boston
2024-01-18,PROD-1004,1645.78,Miami
2024-01-19,PROD-1002,2734.85,Denver
2024-01-19,PROD-1001,1598.43,Chicago
2024-01-20,PROD-1001,2389.67,Philadelphia
2024-01-20,PROD-1005,1867.34,New York
2024-01-21,PROD-1004,2612.79,Houston
2024-01-21,PROD-1002,1523.86,Phoenix
2024-01-22,PROD-1001,2198.74,Portland
2024-01-22,PROD-1001,1879.45,Los Angeles
2024-01-23,PROD-1005,2567.82,Seattle
2024-01-23,PROD-1004,1734.69,Austin
2024-01-24,PROD-1002,2423.91,Chicago
2024-01-24,PROD-1001,1645.57,Las Vegas
2024-01-25,PROD-1001,2789.64,Miami
2024-01-25,PROD-1005,1534.78,San Antonio
2024-01-26,PROD-1004,2134.86,New York
2024-01-26,PROD-1002,1912.43,Boston
2024-01-27,PROD-1001,2689.58,San Diego
2024-01-27,PROD-1001,1598.67,Atlanta
2024-01-28,PROD-1005,2456.73,Chicago
2024-01-28,PROD-1004,1823.49,Seattle
2024-01-29,PROD-1002,2612.87,Los Angeles
2024-01-29,PROD-1001,1645.92,Phoenix
2024-01-30,PROD-1001,2389.76,San Jose
2024-01-30,PROD-1005,1867.38,Miami
2024-01-31,PROD-1004,2734.94,Detroit
2024-01-31,PROD-1002,1523.68,New York
2024-02-01,PROD-1001,2198.85,Dallas
2024-02-01,PROD-1001,1879.34,Denver
2024-02-02,PROD-1005,2567.91,Chicago
2024-02-02,PROD-1004,1734.56,Houston
2024-02-03,PROD-1002,2423.78,Minneapolis
2024-02-03,PROD-1001,1645.89,Boston
2024-02-04,PROD-1001,2789.63,Philadelphia
2024-02-04,PROD-1005,1534.72,Los Angeles
2024-02-05,PROD-1004,2134.97,Portland
2024-02-05,PROD-1002,1912.46,Miami
2024-02-06,PROD-1001,2689.54,Austin
2024-02-06,PROD-1001,1598.78,New York
2024-02-07,PROD-1005,2456.82,Las Vegas
2024-02-07,PROD-1004,1823.67,Chicago
2024-02-08,PROD-1002,2612.93,Seattle
2024-02-08,PROD-1001,1645.34,San Antonio
2024-02-09,PROD-1001,2389.65,Phoenix
2024-02-09,PROD-1005,1867.49,Boston
2024-02-10,PROD-1004,2734.87,San Diego
2024-02-10,PROD-1002,1523.94,Los Angeles
2024-02-11,PROD-1001,2198.76,Atlanta
2024-02-11,PROD-1002,1879.38,Miami
2024-02-12,PROD-1005,2567.84,Chicago
2024-02-12,PROD-1004,1734.69,San Jose
2024-02-13,PROD-1002,2423.91,New York
2024-02-13,PROD-1001,1645.57,Detroit
2024-02-14,PROD-1002,2789.62,Dallas
2024-02-14,PROD-1005,1534.83,Denver
2024-02-15,PROD-1004,2134.78,Houston
2024-02-15,PROD-1002,1912.45,Seattle
2024-02-16,PROD-1001,2689.56,Philadelphia
2024-02-16,PROD-1002,1598.69,Boston
